user_id	item_id	time
2196	2086	2018-01-01 00:13:50.755
2196	3730	2018-01-01 00:15:44.220
2196	3491	2018-01-01 00:24:15.265
2196	14488	2018-01-01 00:28:02.180
2196	8718	2018-01-01 00:51:32.895
1937	622	2018-01-01 01:02:04.310
572	1301	2018-01-01 01:36:00.991
572	1722	2018-01-01 01:41:32.858
2735	519	2018-01-01 02:39:53.010
2735	1020	2018-01-01 02:55:56.940
5414	4315	2018-01-01 03:54:37.834
5414	4399	2018-01-01 04:10:14.821
5114	2109	2018-01-01 07:48:02.599
5114	1630	2018-01-01 07:48:32.893
4064	2698	2018-01-01 08:32:20.213
4064	14081	2018-01-01 08:41:50.869
759	8718	2018-01-01 19:47:19.800
759	8708	2018-01-01 19:47:42.713
2216	2742	2018-01-01 20:44:54.346
2216	1054	2018-01-01 20:45:58.339
2216	538	2018-01-01 21:02:00.203
2216	222	2018-01-01 21:02:09.241
2216	301	2018-01-01 21:02:36.422
1004	4678	2018-01-01 21:10:25.982
1004	5480	2018-01-01 21:11:08.215
1004	3438	2018-01-01 21:14:00.284
1004	4699	2018-01-01 21:14:47.017
3919	603	2018-01-01 21:38:20.421
3919	733	2018-01-01 21:38:56.861
4218	6671	2018-01-02 00:20:14.320
4197	937	2018-01-02 04:17:05.751
4197	1379	2018-01-02 04:19:35.727
4197	1781	2018-01-02 04:21:39.243
4197	1389	2018-01-02 04:31:11.363
580	1380	2018-01-02 07:56:56.777
4010	1883	2018-01-02 13:48:16.345
610	8022	2018-01-02 14:03:43.377
5447	3873	2018-01-02 14:10:05.453
1456	4633	2018-01-02 14:55:47.746
725	2086	2018-01-02 14:58:17.021
5365	3491	2018-01-02 15:04:52.654
2765	3077	2018-01-02 15:46:27.679
2919	12455	2018-01-02 16:02:06.931
431	3999	2018-01-02 16:04:12.054
3294	3491	2018-01-02 16:13:47.897
2919	6961	2018-01-02 16:22:20.267
2919	4709	2018-01-02 16:24:16.415
3294	3944	2018-01-02 16:49:35.619
2919	3528	2018-01-02 17:35:51.312
2919	3491	2018-01-02 17:37:17.789
4876	4295	2018-01-02 18:08:49.224
4737	1791	2018-01-02 18:09:40.221
4876	4658	2018-01-02 18:12:08.114
4876	4538	2018-01-02 18:15:13.593
4876	8710	2018-01-02 18:16:18.495
2919	3810	2018-01-02 18:18:07.796
2919	2481	2018-01-02 18:18:19.566
4876	9832	2018-01-02 18:23:18.420
4876	4074	2018-01-02 18:23:25.490
4876	9578	2018-01-02 18:23:32.439
4876	3504	2018-01-02 18:23:55.999
1180	4309	2018-01-02 21:13:06.893
5031	5207	2018-01-02 21:34:55.758
536	4320	2018-01-03 01:42:46.718
3437	3625	2018-01-03 03:06:47.441
5137	2375	2018-01-03 03:07:49.462
360	1744	2018-01-03 03:15:24.851
1197	4210	2018-01-03 04:28:28.575
4156	4352	2018-01-03 08:42:24.825
1673	3653	2018-01-03 10:22:24.113
1673	2222	2018-01-03 10:26:06.233
2341	4758	2018-01-03 11:24:05.317
2416	4270	2018-01-03 12:33:37.716
696	6368	2018-01-03 13:26:13.267
2600	3464	2018-01-03 15:29:20.304
